epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3796,1.52372,2.94808,1.39831,0.00556,1,0.33086,0.19727,1.40776,2.95736,1.44182,0.00081,0.00081,0.07381
2,17.246,1.51598,2.17825,1.42876,0.59498,0.55556,0.53734,0.19573,2.1154,2.38444,1.97957,0.00164937,0.00164937,0.0466494
3,24.6876,1.5094,2.08166,1.48285,0.332,0.61667,0.51766,0.26747,1.71611,2.18011,1.82738,0.0024862,0.0024862,0.0194862
4,31.307,1.48454,1.9664,1.45413,0.337,0.82747,0.49273,0.24602,1.69732,2.74168,1.63933,0.00298971,0.00298971,0.00298971
5,38.7973,1.48507,1.87693,1.42616,0.46913,0.83333,0.69898,0.34444,1.61991,1.92498,1.62934,0.00298172,0.00298172,0.00298172
6,46.8019,1.49586,1.86469,1.47654,0.50874,1,0.69553,0.38944,1.46871,1.88698,1.5677,0.00297147,0.00297147,0.00297147
7,54.2014,1.39503,1.77301,1.42004,0.50066,0.72274,0.74465,0.43869,1.45667,1.63994,1.56248,0.00295897,0.00295897,0.00295897
8,61.761,1.45621,1.74971,1.41598,0.75503,0.51137,0.76032,0.31513,1.6419,2.79849,1.70947,0.00294425,0.00294425,0.00294425
9,68.8568,1.39912,1.66727,1.37132,0.67969,0.80618,0.74991,0.39622,1.52056,2.2166,1.55468,0.00292732,0.00292732,0.00292732
10,76.8465,1.39029,1.60763,1.40692,0.63654,1,0.74759,0.40084,1.56136,1.54465,1.61455,0.00290821,0.00290821,0.00290821
11,84.406,1.39985,1.55175,1.40577,0.6613,0.89552,0.8137,0.41994,1.44189,1.65927,1.49436,0.00288696,0.00288696,0.00288696
12,91.6601,1.40351,1.5657,1.41335,0.62776,0.86667,0.79727,0.46613,1.5107,1.63538,1.57985,0.00286359,0.00286359,0.00286359
13,99.9254,1.39631,1.44061,1.39258,0.50981,0.76352,0.50976,0.30359,1.41584,12.0246,1.46162,0.00283814,0.00283814,0.00283814
