epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,107.411,1.08897,1.14137,1.10881,0.91168,0.99995,0.995,0.55757,1.54997,0.95791,1.38025,0.0007525,0.0007525,0.0007525
22,113.831,1.03604,0.99763,1.09559,0.94692,0.94065,0.995,0.5452,1.56147,1.00997,1.36877,0.000740125,0.000740125,0.000740125
23,120.31,1.0372,1.02426,1.08556,0.88826,0.93985,0.9675,0.53288,1.47929,1.04625,1.30468,0.00072775,0.00072775,0.00072775
24,127.155,1.03718,0.96846,1.0746,0.95001,0.92493,0.995,0.54944,1.50146,0.97282,1.34135,0.000715375,0.000715375,0.000715375
25,133.351,1.05598,1.02037,1.081,0.93834,0.94229,0.995,0.53519,1.69035,0.96209,1.5107,0.000703,0.000703,0.000703
26,140.175,1.00823,0.98653,1.07865,0.96087,0.88818,0.98389,0.49366,1.78593,1.05231,1.67914,0.000690625,0.000690625,0.000690625
27,146.587,0.93895,0.94926,1.05264,0.86283,0.92419,0.97,0.41256,1.91879,1.16446,1.87754,0.00067825,0.00067825,0.00067825
28,152.828,0.98344,0.96283,1.06789,0.87351,0.92533,0.98389,0.44139,1.82232,1.09734,1.62306,0.000665875,0.000665875,0.000665875
29,158.673,0.99525,0.96702,1.05876,0.90132,0.87295,0.98389,0.4603,1.80912,1.15924,1.61073,0.0006535,0.0006535,0.0006535
30,165.048,0.98545,0.9024,1.0659,0.92739,0.86833,0.98389,0.4334,1.81463,1.15272,1.59893,0.000641125,0.000641125,0.000641125
31,171.714,0.98891,0.90942,1.05355,0.98375,0.88402,0.995,0.44933,1.7971,1.05702,1.58179,0.00062875,0.00062875,0.00062875
32,178.734,1.02885,0.89851,1.07218,0.9333,0.91559,0.995,0.48769,1.78384,1.05453,1.59456,0.000616375,0.000616375,0.000616375
33,185.484,0.99487,0.87776,1.0803,0.92198,0.93333,0.98389,0.51782,1.76123,1.0682,1.61516,0.000604,0.000604,0.000604
34,192.516,0.96544,0.87792,1.03713,0.93653,0.87928,0.995,0.51244,1.77684,1.08659,1.67316,0.000591625,0.000591625,0.000591625
35,198.398,0.98444,0.86098,1.0546,0.89251,0.9044,0.995,0.4594,1.84781,1.09618,1.70822,0.00057925,0.00057925,0.00057925
36,204.526,0.91341,0.81792,1.0283,0.94937,0.93906,0.995,0.49303,1.7521,0.94303,1.54822,0.000566875,0.000566875,0.000566875
37,209.869,0.94042,0.84988,1.02367,0.98174,0.93976,0.995,0.51975,1.70801,0.85528,1.45331,0.0005545,0.0005545,0.0005545
38,216.003,0.9518,0.82589,1.04534,0.9529,0.95317,0.995,0.49672,1.83829,0.8454,1.54535,0.000542125,0.000542125,0.000542125
39,221.868,0.94575,0.78559,1.03568,0.95017,0.93826,0.995,0.50068,1.85917,0.9232,1.62213,0.00052975,0.00052975,0.00052975
40,227.361,0.94442,0.79542,1.02643,0.93268,0.93806,0.995,0.48714,1.95381,1.04467,1.77716,0.000517375,0.000517375,0.000517375
41,233.111,0.93038,0.78002,1.05165,0.83102,0.97828,0.995,0.4635,1.96543,1.05647,1.84022,0.000505,0.000505,0.000505
