epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16812,1.39757,2.94958,1.224,0.07338,1,0.47004,0.23369,1.37563,3.03586,1.21781,0.00027,0.00027,0.07327
2,12.6111,1.2943,2.10068,1.19093,0.00356,1,0.75816,0.46449,1.35314,2.68698,1.19323,0.000543194,0.000543194,0.0455432
3,17.4753,1.30753,1.83618,1.19927,0.75302,0.70774,0.78746,0.42794,1.46826,2.02564,1.29412,0.000809458,0.000809458,0.0178095
4,22.3679,1.35236,1.76256,1.18811,0.6406,0.69983,0.74803,0.39516,1.53542,2.11732,1.29645,0.000962875,0.000962875,0.000962875
5,27.6411,1.30269,1.70196,1.1808,0.86544,0.79769,0.9056,0.45578,1.69794,1.79161,1.40887,0.0009505,0.0009505,0.0009505
6,32.2823,1.19686,1.44124,1.12014,0.73035,0.70254,0.72285,0.3681,1.86197,1.83803,1.57469,0.000938125,0.000938125,0.000938125
7,37.3942,1.19441,1.41297,1.15884,0.53282,0.55821,0.56559,0.3081,1.84301,1.80929,1.58817,0.00092575,0.00092575,0.00092575
8,42.6816,1.19842,1.25038,1.11205,0.75423,0.88712,0.89578,0.44941,1.59004,1.43301,1.39514,0.000913375,0.000913375,0.000913375
9,48.1064,1.13873,1.27065,1.10435,0.8901,0.9982,0.995,0.49402,1.57121,1.11301,1.36011,0.000901,0.000901,0.000901
10,53.6316,1.2113,1.2534,1.13781,0.95894,1,0.995,0.55155,1.48378,1.13068,1.3704,0.000888625,0.000888625,0.000888625
11,58.8047,1.24151,1.29595,1.17284,0.79116,0.92773,0.96167,0.50258,1.59141,1.45308,1.42492,0.00087625,0.00087625,0.00087625
12,63.9182,1.13382,1.16581,1.12927,0.87559,0.93333,0.96722,0.41981,1.7834,1.51177,1.78674,0.000863875,0.000863875,0.000863875
13,69.0569,1.14537,1.15835,1.11768,0.98496,1,0.995,0.48912,1.69566,1.0857,1.49248,0.0008515,0.0008515,0.0008515
14,73.951,1.08869,1.15563,1.08552,0.94172,0.94408,0.995,0.47147,1.80488,1.13664,1.69596,0.000839125,0.000839125,0.000839125
15,78.5345,1.10645,1.19426,1.10808,0.86346,1,0.995,0.52697,1.51801,1.13162,1.38715,0.00082675,0.00082675,0.00082675
16,83.2722,1.07633,1.12818,1.0719,0.94769,1,0.995,0.5168,1.69838,1.14268,1.57038,0.000814375,0.000814375,0.000814375
17,88.4043,1.10627,1.1402,1.12332,0.7639,0.77841,0.81029,0.41174,1.90893,1.48424,1.77192,0.000802,0.000802,0.000802
18,93.2087,1.07701,1.09824,1.09451,0.92501,0.96969,0.97833,0.49622,1.74917,1.21216,1.50462,0.000789625,0.000789625,0.000789625
19,97.7535,1.0452,1.06474,1.08996,0.97961,0.94272,0.995,0.49661,1.79359,1.08976,1.6294,0.00077725,0.00077725,0.00077725
20,102.496,1.03329,1.07364,1.09637,0.9689,0.93333,0.98389,0.49631,1.79908,1.09511,1.5972,0.000764875,0.000764875,0.000764875
