epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,98.5756,1.32203,1.44283,1.3668,0.75641,0.92144,0.87062,0.51545,1.41166,1.87809,1.46413,0.00229091,0.00229091,0.00229091
15,106.911,1.32753,1.32649,1.38401,0.6432,0.97822,0.82063,0.38218,1.58459,1.41127,1.65497,0.00218918,0.00218918,0.00218918
16,115.04,1.35949,1.38212,1.41084,0.7286,0.96245,0.92119,0.50876,1.45892,1.15263,1.52606,0.00208328,0.00208328,0.00208328
17,124.231,1.3051,1.24297,1.36315,0.95112,0.8,0.94333,0.51778,1.46726,1.09538,1.56497,0.00197389,0.00197389,0.00197389
18,132.625,1.24644,1.19728,1.31416,0.74683,0.86667,0.90643,0.43628,1.60879,1.27046,1.71488,0.00186167,0.00186167,0.00186167
19,140.247,1.36373,1.21949,1.40934,0.91189,0.91977,0.96537,0.56604,1.49715,1.13597,1.59466,0.00174731,0.00174731,0.00174731
20,147.742,1.2948,1.17323,1.34598,0.87804,0.81968,0.96167,0.57016,1.48693,1.13888,1.53474,0.00163151,0.00163151,0.00163151
21,154.781,1.29856,1.18403,1.38268,0.96696,0.94751,0.995,0.55538,1.50733,0.97259,1.55061,0.001515,0.001515,0.001515
22,162.121,1.31606,1.17837,1.35652,0.96887,0.93518,0.995,0.57077,1.44845,1.00433,1.49986,0.00139849,0.00139849,0.00139849
23,168.632,1.24432,1.12037,1.28909,0.95967,0.93333,0.97,0.56338,1.40068,1.06757,1.46926,0.00128269,0.00128269,0.00128269
24,175.04,1.2565,1.17758,1.30763,0.89908,0.80875,0.96167,0.54048,1.46193,1.24292,1.56357,0.00116833,0.00116833,0.00116833
25,181.795,1.26964,1.14204,1.32077,0.88638,0.91617,0.95397,0.57149,1.29135,1.10054,1.39839,0.00105611,0.00105611,0.00105611
26,188.553,1.26937,1.05417,1.31662,0.89787,0.93333,0.94917,0.53079,1.33625,1.07874,1.45168,0.000946715,0.000946715,0.000946715
27,194.875,1.20895,1.01503,1.28676,0.91926,0.86559,0.9253,0.51248,1.51051,1.23536,1.61391,0.000840824,0.000840824,0.000840824
28,201.989,1.23113,1.03868,1.28999,0.93752,0.84532,0.9368,0.51289,1.44896,1.06343,1.52223,0.00073909,0.00073909,0.00073909
29,209.888,1.27232,1.07585,1.29943,0.94852,0.86667,0.96262,0.56365,1.41671,0.97453,1.46354,0.000642139,0.000642139,0.000642139
30,216.009,1.25044,1.08575,1.29407,0.8955,0.86667,0.95667,0.56155,1.39842,1.03576,1.47295,0.00055057,0.00055057,0.00055057
31,222.736,1.05075,0.88833,1.25716,0.96202,0.86667,0.92754,0.53296,1.38364,1.05727,1.47497,0.000464946,0.000464946,0.000464946
32,228.483,0.99068,0.83398,1.22644,0.97339,0.86667,0.94833,0.52676,1.4087,0.99561,1.50093,0.000385797,0.000385797,0.000385797
33,234.63,1.01574,0.83353,1.22352,0.96378,0.91048,0.96537,0.5522,1.3835,0.97765,1.49843,0.00031361,0.00031361,0.00031361
34,241.022,1.01636,0.81246,1.24135,0.97402,0.9218,0.97,0.53142,1.3748,0.96375,1.48275,0.000248829,0.000248829,0.000248829
35,247.304,0.98699,0.79262,1.21214,0.9624,0.86667,0.95667,0.5489,1.40321,0.99416,1.49915,0.000191855,0.000191855,0.000191855
36,253.905,0.99287,0.78721,1.20075,0.9647,0.86667,0.96262,0.5435,1.41445,1.02035,1.52179,0.000143039,0.000143039,0.000143039
37,260.146,1.04019,0.78143,1.25755,0.96313,0.86667,0.95667,0.5336,1.40377,1.04466,1.52734,0.000102681,0.000102681,0.000102681
