epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37231,1.52372,2.94808,1.39831,0.00556,1,0.33086,0.19727,1.40776,2.95736,1.44182,0.00081,0.00081,0.07381
2,13.5277,1.51687,2.17916,1.43158,0.61192,0.44444,0.52468,0.23366,2.10009,2.43402,1.95177,0.00164748,0.00164748,0.0466475
3,20.1746,1.49965,2.11187,1.47572,0.33862,0.65556,0.47836,0.25586,1.67003,2.00502,1.82322,0.00247483,0.00247483,0.0194748
4,26.332,1.48504,1.979,1.46245,0.3244,0.68333,0.45976,0.26296,1.65486,2.34048,1.61059,0.00295897,0.00295897,0.00295897
5,33.1134,1.46492,1.8735,1.4086,0.25265,0.83333,0.41094,0.15859,1.60581,4.94163,1.57928,0.00292732,0.00292732,0.00292732
6,40.5183,1.46608,1.90309,1.44681,0.25776,0.61667,0.69595,0.3873,1.49251,2.13307,1.6335,0.00288696,0.00288696,0.00288696
7,47.8454,1.38936,1.78769,1.40817,0.476,0.77778,0.70458,0.40245,1.41533,2.08749,1.49392,0.00283814,0.00283814,0.00283814
8,54.9305,1.46998,1.79262,1.45727,0.61147,0.69021,0.65937,0.36905,1.4931,1.81776,1.63878,0.00278117,0.00278117,0.00278117
9,61.686,1.3362,1.68002,1.37756,0.54759,0.68333,0.72509,0.39918,1.33849,1.67341,1.48272,0.00271639,0.00271639,0.00271639
10,68.1813,1.3917,1.62017,1.42704,0.74938,0.82853,0.79079,0.44092,1.45267,1.54469,1.4648,0.0026442,0.0026442,0.0026442
11,75.1559,1.4121,1.55646,1.42519,0.51168,0.72885,0.7473,0.45323,1.36047,1.75956,1.54638,0.00256505,0.00256505,0.00256505
12,82.1576,1.3803,1.55856,1.43945,0.60329,0.73889,0.77083,0.44283,1.54687,1.48952,1.65536,0.00247943,0.00247943,0.00247943
13,90.2494,1.37575,1.45835,1.40438,0.56427,1,0.8226,0.48407,1.3371,1.45405,1.40352,0.00238786,0.00238786,0.00238786
