epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82438,1.58544,3.20462,1.47634,0.03226,0.83333,0.38707,0.24355,1.29047,3.26822,1.23878,0.00057,0.00057,0.08157
2,12.0834,1.14837,2.20134,1.21195,0.00637,1,0.49522,0.30829,1.25932,2.85431,1.26734,0.00114104,0.00114104,0.062141
3,18.7198,1.18061,1.91791,1.19282,0.77273,0.27234,0.7326,0.60233,0.78627,2.34963,0.94932,0.00168239,0.00168239,0.0426824
4,24.5212,1.09966,1.67346,1.15069,0.96487,0.46698,0.68222,0.48022,1.01599,1.37099,1.04929,0.00219403,0.00219403,0.023194
5,29.3289,1.03207,1.63846,1.12219,0.73004,0.88082,0.88444,0.62389,0.98352,1.3358,1.04384,0.00267597,0.00267597,0.00367597
6,35.2121,0.99466,1.60931,1.09926,0.78035,0.93286,0.995,0.71295,0.95491,1.92546,1.02374,0.00262875,0.00262875,0.00262875
7,41.4522,0.99191,1.52145,1.10175,0.98306,0.94267,0.98738,0.74088,0.91273,1.08686,0.9674,0.0025545,0.0025545,0.0025545
8,47.4361,0.93662,1.31253,1.06719,0.83087,0.79316,0.90452,0.72793,0.82526,1.28661,0.97989,0.00248025,0.00248025,0.00248025
9,54.1371,0.90412,1.21826,1.04917,0.79218,0.93053,0.995,0.82174,0.72031,0.95839,0.92838,0.002406,0.002406,0.002406
10,61.8932,0.93761,1.28999,1.05758,0.78042,1,0.93944,0.7718,0.70047,0.92305,0.92728,0.00233175,0.00233175,0.00233175
11,68.0805,0.83951,1.20876,1.02768,0.92718,0.97461,0.995,0.8012,0.66595,0.85849,0.92818,0.0022575,0.0022575,0.0022575
12,73.5256,0.85657,1.09245,1.03144,0.86951,1,0.995,0.89609,0.57383,1.1662,0.88141,0.00218325,0.00218325,0.00218325
13,78.9425,0.8225,1.13478,1.01365,0.63537,1,0.995,0.90314,0.52328,0.96446,0.86063,0.002109,0.002109,0.002109
14,85.1189,0.73054,1.02557,0.98191,0.75979,0.87624,0.98167,0.87585,0.57137,1.46077,0.90188,0.00203475,0.00203475,0.00203475
15,91.8276,0.78171,1.04011,1.02157,0.88936,1,0.995,0.91881,0.53413,0.83273,0.85545,0.0019605,0.0019605,0.0019605
16,97.7479,0.74692,1.01411,1.0098,0.83357,0.95833,0.93567,0.85732,0.50546,1.04264,0.85495,0.00188625,0.00188625,0.00188625
17,104.045,0.81414,1.01747,1.02666,0.81168,0.94377,0.87354,0.75554,0.58972,1.01754,0.88116,0.001812,0.001812,0.001812
18,109.755,0.73725,0.98685,0.99158,0.97259,1,0.995,0.83736,0.54966,0.70827,0.8676,0.00173775,0.00173775,0.00173775
19,116.196,0.72613,0.90736,0.96826,0.96713,1,0.995,0.889,0.53345,0.65201,0.84262,0.0016635,0.0016635,0.0016635
20,122.478,0.6889,0.8959,0.96727,0.94791,0.97668,0.995,0.86558,0.5389,0.65698,0.8529,0.00158925,0.00158925,0.00158925
21,130.45,0.72737,0.89567,0.98324,0.99776,0.94599,0.995,0.95115,0.40761,0.59816,0.80959,0.001515,0.001515,0.001515
22,137.745,0.71045,0.88905,0.99005,0.959,1,0.995,0.93693,0.41764,0.57571,0.81104,0.00144075,0.00144075,0.00144075
23,144.395,0.66985,0.81496,0.96958,0.9797,1,0.995,0.89293,0.53745,0.60632,0.84338,0.0013665,0.0013665,0.0013665
24,150.258,0.63232,0.82296,0.94795,0.95401,0.98887,0.995,0.90621,0.4588,0.59165,0.81528,0.00129225,0.00129225,0.00129225
25,155.456,0.7128,0.87488,0.96729,0.98393,1,0.995,0.89178,0.49009,0.5081,0.8194,0.001218,0.001218,0.001218
26,161.137,0.66407,0.81632,0.95366,0.97468,1,0.995,0.90874,0.44982,0.48722,0.80626,0.00114375,0.00114375,0.00114375
27,167.582,0.63957,0.78885,0.93621,0.95383,1,0.995,0.9072,0.44034,0.48652,0.81108,0.0010695,0.0010695,0.0010695
28,172.926,0.61243,0.72879,0.92914,0.94799,1,0.995,0.89189,0.45711,0.49879,0.81672,0.00099525,0.00099525,0.00099525
29,177.886,0.60716,0.74302,0.92136,0.93074,0.9923,0.995,0.93308,0.38873,0.52967,0.80217,0.000921,0.000921,0.000921
30,183.512,0.64818,0.75672,0.96024,0.95512,0.99615,0.995,0.95058,0.35359,0.47644,0.7944,0.00084675,0.00084675,0.00084675
31,188.991,0.44166,0.59191,0.85831,0.96977,0.9986,0.995,0.93457,0.37163,0.49641,0.78765,0.0007725,0.0007725,0.0007725
32,194.331,0.42675,0.5555,0.8334,0.97371,1,0.995,0.90151,0.41037,0.53319,0.7974,0.00069825,0.00069825,0.00069825
33,199.196,0.38884,0.53975,0.82077,0.9776,1,0.995,0.90888,0.36296,0.47241,0.78579,0.000624,0.000624,0.000624
